Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.40339028,-47.38862073,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8705,10/10/2024,03/03/2025,870,3,3.8508933
-19.39951139,-47.38827855,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8706,10/10/2024,03/03/2025,870,3,3.8510396
-19.3972692,-47.39395633,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8707,10/10/2024,03/03/2025,870,3,3.851518
-19.40338903,-47.38871589,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8708,10/10/2024,03/03/2025,870,3,3.8515987
-19.39507197,-47.38935584,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8709,10/10/2024,03/03/2025,870,3,3.851626
-19.40234069,-47.39288842,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8710,10/10/2024,03/03/2025,870,3,3.85186
-19.39983001,-47.39151921,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8711,10/10/2024,03/03/2025,870,3,3.852064
-19.40354958,-47.3902411,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8712,10/10/2024,03/03/2025,870,3,3.852192
-19.40303786,-47.38794933,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8713,10/10/2024,03/03/2025,870,3,3.8523207
-19.39857341,-47.39092979,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8714,10/10/2024,03/03/2025,870,3,3.8525577
-19.40210739,-47.39002966,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8715,10/10/2024,03/03/2025,870,3,3.8525987
-19.39757892,-47.39101043,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8716,10/10/2024,03/03/2025,870,3,3.8526714
-19.40072918,-47.39181789,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8717,10/10/2024,03/03/2025,870,3,3.8526795
-19.40171615,-47.39230821,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8718,10/10/2024,03/03/2025,870,3,3.8529968
-19.40312065,-47.38852161,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8719,10/10/2024,03/03/2025,870,3,3.8531115
-19.40134871,-47.39277873,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8720,10/10/2024,03/03/2025,870,3,3.8533978
-19.39592733,-47.39298495,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8721,10/10/2024,03/03/2025,870,3,3.8535776
-19.39856464,-47.39159589,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8722,10/10/2024,03/03/2025,870,3,3.8536704
-19.40357962,-47.38795724,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8723,10/10/2024,03/03/2025,870,3,3.8540246
-19.39984628,-47.39028215,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8724,10/10/2024,03/03/2025,870,3,3.8543174
-19.40439977,-47.38739814,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8725,10/10/2024,03/03/2025,870,3,3.8544781
-19.40073044,-47.39172273,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8726,10/10/2024,03/03/2025,870,3,3.854504
-19.39914146,-47.38893939,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8727,10/10/2024,03/03/2025,870,3,3.8545973
-19.40171991,-47.39202273,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8728,10/10/2024,03/03/2025,870,3,3.8546584
-19.39656941,-47.39223295,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8729,10/10/2024,03/03/2025,870,3,3.8546734
-19.40207357,-47.39259897,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8730,10/10/2024,03/03/2025,870,3,3.8550844
-19.40002061,-47.39076059,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8731,10/10/2024,03/03/2025,870,3,3.8554215
-19.40136124,-47.39182713,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8732,10/10/2024,03/03/2025,870,3,3.8555179
-19.40347807,-47.38881237,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8733,10/10/2024,03/03/2025,870,3,3.8555408
-19.40210864,-47.3899345,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8734,10/10/2024,03/03/2025,870,3,3.855646
-19.40013219,-47.38914421,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8735,10/10/2024,03/03/2025,870,3,3.8556738
-19.39804792,-47.38968482,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8736,10/10/2024,03/03/2025,870,3,3.8558035
-19.40215868,-47.3861281,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8737,10/10/2024,03/03/2025,870,3,3.8558905
-19.39766295,-47.39148753,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8738,10/10/2024,03/03/2025,870,3,3.85612
-19.40343048,-47.39242847,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8739,10/10/2024,03/03/2025,870,3,3.856209
-19.39715932,-47.38516649,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8740,10/10/2024,03/03/2025,870,3,3.8564727
-19.40355334,-47.38995561,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8741,10/10/2024,03/03/2025,870,3,3.856527
-19.3978498,-47.39101439,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8742,10/10/2024,03/03/2025,870,3,3.8566892
-19.40214617,-47.38707971,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8743,10/10/2024,03/03/2025,870,3,3.8570461
-19.40449757,-47.38682849,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8744,10/10/2024,03/03/2025,870,3,3.8571162
-19.40410887,-47.38891676,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8745,10/10/2024,03/03/2025,870,3,3.8572035
-19.40376021,-47.38795988,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8746,10/10/2024,03/03/2025,870,3,3.857364
-19.40035297,-47.39295451,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8747,10/10/2024,03/03/2025,870,3,3.8573668
-19.39855168,-47.38427749,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8748,10/10/2024,03/03/2025,870,3,3.8574095
-19.39792883,-47.39187212,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8749,10/10/2024,03/03/2025,870,3,3.8574173
-19.39941609,-47.38865787,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8750,10/10/2024,03/03/2025,870,3,3.8575797
-19.40357837,-47.3880524,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8751,10/10/2024,03/03/2025,870,3,3.8576314
-19.39974848,-47.39085179,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8752,10/10/2024,03/03/2025,870,3,3.8577576
-19.40002186,-47.39066543,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8753,10/10/2024,03/03/2025,870,3,3.8578627
