Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.39666649,-47.38649954,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_252,10/10/2024,03/03/2025,870,3,1.4370364
-19.40019469,-47.38438626,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_253,10/10/2024,03/03/2025,870,3,1.4371669
-19.3960506,-47.3860904,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_254,10/10/2024,03/03/2025,870,3,1.4375424
-19.39670602,-47.38871347,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_255,10/10/2024,03/03/2025,870,3,1.4428519
-19.39596882,-47.38605003,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_256,10/10/2024,03/03/2025,870,3,1.4500818
-19.39689633,-47.38598247,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_257,10/10/2024,03/03/2025,870,3,1.4506999
-19.39661698,-47.388617,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_258,10/10/2024,03/03/2025,870,3,1.4547013
-19.39725658,-47.38584504,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_259,10/10/2024,03/03/2025,870,3,1.4598136
-19.39962044,-47.38685249,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_260,10/10/2024,03/03/2025,870,3,1.4616418
-19.39668932,-47.38577518,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_261,10/10/2024,03/03/2025,870,3,1.4685416
-19.39664585,-47.38564863,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_262,10/10/2024,03/03/2025,870,3,1.4686688
-19.39965418,-47.38428321,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_263,10/10/2024,03/03/2025,870,3,1.4726927
-19.3959585,-47.38562457,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_264,10/10/2024,03/03/2025,870,3,1.473139
-19.4000166,-47.38419331,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_265,10/10/2024,03/03/2025,870,3,1.4739497
-19.39721827,-47.38593122,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_266,10/10/2024,03/03/2025,870,3,1.4760306
